"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"11f015ba9256e91d07dbaa6dbc408958","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Hyptis albida","POWO, 2022","1818","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Hyptis","","albida","","Kunth, 1818","sinónimo"
"8b9091fec63a31fa012c69325688b7ba","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Hyptis rhytidea","Martínez-Gordillo, Bedolla-García, Cornejo-Tenorio, Fragoso-Martínez, García-Peña, González-Gallegos, Lara-Cabrera & Zamudio, 2017","1839","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Hyptis","","rhytidea","","Benth., 1839","aceptado"
"ab6d8717188cb635faa7a03e0ba9467b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"a6f25f549384b1eb7439c1281b254337","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Hyptis rhytidea","Martínez-Gordillo, Bedolla-García, Cornejo-Tenorio, Fragoso-Martínez, García-Peña, González-Gallegos, Lara-Cabrera & Zamudio, 2017","1839","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Hyptis","","rhytidea","","Benth., 1839","aceptado"
"6a0bd3c88e53e7d19e9d18afb681f942","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"c5dcc807e810e80493262b56317e9c28","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Lamourouxia viscosa","Christenhusz, 2011b","1818","Plantae","Tracheophyta","Equisetopsida","Lamiales","Orobanchaceae","Lamourouxia","","viscosa","","Kunth, 1818","aceptado"
"5d136c53ea01d598195ec2cd88c16f4c","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"122984ecf83930c5a4a2edd89592c9f1","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"22a08313181e278240db6f3035b47ac6","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Rumfordia floribunda","Castelo, Ricalde & Panero, 2005","1836","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Rumfordia","","floribunda","","DC., 1836","aceptado"
"61563189fea7162d79401fa416f4522d","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
