"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"35fdc79796d8f03c625b9d8c1db7417f","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Luffa operculata","Lira & Rodríguez-Arévalo, 2006","1878","Plantae","Tracheophyta","Equisetopsida","Cucurbitales","Cucurbitaceae","Luffa","","operculata","","(L.) Cogn., 1878","aceptado"
"d3152aea261db77199e35880d8833942","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Entadopsis polystachya","Tropicos, 2018","1928","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Entadopsis","","polystachya","","(L.) Britton, 1928","sinónimo"
"94bf8f997d67ee68f3dbbaaaa97521e8","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Hibiscus pernambucensis","Fryxell, 2012","1810","Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Hibiscus","","pernambucensis","","Arruda, 1810","aceptado"
"af7a826596dcdde5bf349d61a61c064a","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Solanum houstonii","Martínez, Vargas-Ponce, Rodríguez, Chiang & Ocegueda, 2017","1807","Plantae","Tracheophyta","Equisetopsida","Solanales","Solanaceae","Solanum","","houstonii","","Martyn, 1807","aceptado"
"98951184b437a99c039db3ca3760e34b","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Nymphaea elegans","Lot, 2011a","1851","Plantae","Tracheophyta","Equisetopsida","Nymphaeales","Nymphaeaceae","Nymphaea","","elegans","","Hook., 1851","aceptado"
"11ab6a7e0cfd35abdcdfe18a5a6b7076","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Nymphaea elegans","Lot, 2011a","1851","Plantae","Tracheophyta","Equisetopsida","Nymphaeales","Nymphaeaceae","Nymphaea","","elegans","","Hook., 1851","aceptado"
"7f1b84e197740e95590549928c3ed284","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Tillandsia caput-medusae","Espejo-Serna & López-Ferrari, 2018","1880","Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Tillandsia","","caput-medusae","","E. Morren, 1880","aceptado"
"7781be2f74153436dbcfeb9d40661af2","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Leptochloa aquatica","Dávila, Mejía-Saulés, Gómez-Sánchez, Valdés-Reyna, Ortíz, Morín, Castrejón & Ocampo, 2006","1901","Plantae","Tracheophyta","Equisetopsida","Poales","Poaceae","Leptochloa","","aquatica","","Scribn. & Merr., 1901","aceptado"
"cdd3a4732958deec252a6bae8dcc2c27","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Cyperus oxylepis","González-Elizondo, Reznicek & Tena-Flores, 2018","1854","Plantae","Tracheophyta","Equisetopsida","Poales","Cyperaceae","Cyperus","","oxylepis","","Nees ex Steud., 1854","aceptado"
"2e73f8133494e4f026ed6e0e2871d08a","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Batis maritima","Carnevali, Tapia-Muñoz, Duno de Stefano & Ramírez Morillo, 2010","1759","Plantae","Tracheophyta","Equisetopsida","Brassicales","Bataceae","Batis","","maritima","","L., 1759","aceptado"
